timestamp,error_val,type
1576195470.5977118,0,2
1576195474.106323,1734,0
1576195474.106709,0,3
1576195474.1092498,1,2
1576195474.1106074,6143,1
1576195474.1111765,6699,1
1576195474.1126606,7123,0
1576195474.1148994,8470,1
1576195474.1152148,10959,1
1576195474.1157432,11401,1
1576195474.1167502,1,3
1576195474.118702,2,2
1576195474.1273644,21650,1
1576195474.1290398,23169,1
1576195474.1307945,24293,1
1576195474.1326768,26994,1
1576195474.1341548,27923,1
1576195474.1392522,19694,0
1576195474.139823,1,3
1576195474.1428268,3,2
1576195474.143875,20711,0
1576195474.1464498,2,3
1576195474.1471438,24987,1
1576195474.1485486,21340,0
1576195474.1493332,28029,1
1576195474.1505105,4,2
1576195474.1547642,3,2
1576195474.1569834,30503,1
1576195474.162722,3,3
1576195474.1639802,4,2
1576195474.1641603,43849,1
1576195474.1657274,44178,1
1576195474.1668985,45011,1
1576195474.1721816,49426,1
1576195474.1735983,48515,1
1576195474.1765382,55620,1
1576195474.1793096,58413,1
1576195474.1816423,55048,1
1576195474.1817665,56964,1
1576195474.182375,57097,1
1576195474.1824303,57450,1
1576195474.1848328,60096,1
1576195474.1854246,3,2
1576195474.1941693,2,2
1576195474.2019758,1,2
1576195474.205153,0,2
1576195479.1969018,2972,0
1576195479.1971893,0,3
1576195479.1981707,1,2
1576195479.1995807,4894,0
1576195479.204104,5351,1
1576195479.2049322,10502,1
1576195479.2053766,9008,1
1576195479.2087297,8498,1
1576195479.210348,1,3
1576195479.2114403,7141,0
1576195479.211709,15007,1
1576195479.2139628,2,2
1576195479.2152157,18920,1
1576195479.216228,21449,1
1576195479.2185113,2,3
1576195479.2243516,24933,1
1576195479.2255375,29689,1
1576195479.2256403,15831,0
1576195479.226281,25074,1
1576195479.2265344,3,2
1576195479.2302153,21234,0
1576195479.2323086,33734,1
1576195479.2347248,36432,1
1576195479.2351956,3,3
1576195479.235322,36260,1
1576195479.2354221,36115,1
1576195479.2358432,37904,1
1576195479.238791,4,2
1576195479.2496445,4,3
1576195479.2498713,43711,1
1576195479.2503312,49544,1
1576195479.2511375,5,2
1576195479.2557268,50813,1
1576195479.2595975,52413,1
1576195479.2602282,52149,1
1576195479.2603927,4,2
1576195479.260888,57209,1
1576195479.26216,55510,1
1576195479.2646985,58502,1
1576195479.2653472,59423,1
1576195479.265776,59722,1
1576195479.2672856,3,2
1576195479.276145,2,2
1576195479.279302,1,2
1576195479.2802863,0,2
1576195484.2761564,1984,0
1576195484.276513,0,3
1576195484.2779686,3717,1
1576195484.2803621,1,2
1576195484.2809713,5315,1
1576195484.2811613,6331,1
1576195484.2817228,6992,1
1576195484.2834327,8525,1
1576195484.2902212,10493,0
1576195484.2904909,1,3
1576195484.290736,2,2
1576195484.2950084,16703,1
1576195484.2957869,8612,0
1576195484.2964928,13121,0
1576195484.2988732,21759,1
1576195484.2991412,20730,1
1576195484.301137,2,3
1576195484.30149,15885,0
1576195484.3020573,22986,1
1576195484.307671,3,2
1576195484.3112307,33078,1
1576195484.3116438,3,3
1576195484.3137643,33547,1
1576195484.3141735,34501,1
1576195484.3151932,4,2
1576195484.315881,35078,1
1576195484.3183959,37918,1
1576195484.3253942,4,3
1576195484.3280857,5,2
1576195484.329649,50195,1
1576195484.330067,49117,1
1576195484.3302636,4,2
1576195484.3304634,50199,1
1576195484.331459,52424,1
1576195484.3329,52817,1
1576195484.3340042,53093,1
1576195484.3342137,54873,1
1576195484.3360906,53760,1
1576195484.3386493,57705,1
1576195484.3393078,57604,1
1576195484.340068,58650,1
1576195484.3414156,3,2
1576195484.346784,2,2
1576195484.3496706,1,2
1576195484.3508656,0,2
1576195489.3495023,2400,0
1576195489.3502212,2594,0
1576195489.350313,0,3
1576195489.3529887,1,2
1576195489.3568695,8279,1
1576195489.357988,1,3
1576195489.3589373,6717,0
1576195489.3598773,2,2
1576195489.361423,12136,1
1576195489.3626618,14863,1
1576195489.3627343,6831,0
1576195489.3660018,17844,1
1576195489.3665478,18284,1
1576195489.3667603,2,3
1576195489.3672807,14067,0
1576195489.3676977,19267,1
1576195489.372872,3,2
1576195489.3761148,3,3
1576195489.3784444,4,2
1576195489.379578,30518,1
1576195489.3824382,4,3
1576195489.3882802,5,2
1576195489.3884654,37885,1
1576195489.3887985,39034,1
1576195489.3901658,36763,1
1576195489.3917785,44182,1
1576195489.3948634,44603,1
1576195489.3991866,49300,1
1576195489.3996723,50046,1
1576195489.4003096,50288,1
1576195489.4007611,49978,1
1576195489.403601,4,2
1576195489.406161,55011,1
1576195489.406756,54856,1
1576195489.407213,57022,1
1576195489.4109771,59810,1
1576195489.4122846,62544,1
1576195489.4134705,61326,1
1576195489.4148622,3,2
1576195489.4148993,63510,1
1576195489.415157,63773,1
1576195489.4163675,65259,1
1576195489.4179232,2,2
1576195489.4222994,1,2
1576195489.4235537,0,2
1576195494.426124,6815,0
1576195494.426409,0,3
1576195494.428485,1,2
1576195494.4290333,8956,1
1576195494.4331539,13351,1
1576195494.4356995,11881,1
1576195494.439444,17096,1
1576195494.4401221,16107,1
1576195494.4481404,27158,0
1576195494.4492035,1,3
1576195494.450295,2,2
1576195494.4520347,29655,0
1576195494.452554,32506,1
1576195494.4530268,32840,1
1576195494.4535222,2,3
1576195494.4583528,38100,1
1576195494.4583907,3,2
1576195494.4592404,38675,1
1576195494.4603348,38909,1
1576195494.4616377,38357,0
1576195494.462961,40299,1
1576195494.4639785,41533,1
1576195494.464831,3,3
1576195494.4652834,40797,0
1576195494.4653578,43235,1
1576195494.465439,43880,1
1576195494.4663393,43830,1
1576195494.46788,4,2
1576195494.4705825,47596,1
1576195494.4708397,49181,1
1576195494.470939,4,3
1576195494.4734883,5,2
1576195494.4750648,52015,1
1576195494.4757028,51691,1
1576195494.476723,54648,1
1576195494.4796314,55549,1
1576195494.4798057,55746,1
1576195494.4804015,56193,1
1576195494.4806995,4,2
1576195494.4809976,56548,1
1576195494.4822426,58504,1
1576195494.486513,3,2
1576195494.490416,2,2
1576195494.494013,1,2
1576195494.497436,0,2
